Candidate_ID,Role,Location,Source,Gender,Age,Current_Status,Applied_Date,Offer_Date,Join_Date
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Analyst,Hyderabad,Campus,Male,26,Accepted,2025-05-07,2025-05-27,
bc8960a9-23b8-41e9-b924-56de3eb13b90,Analyst,Singapore,Referral,Male,28,Offered,2025-04-28,2025-05-17,
8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,Analyst,New York,Internal,Male,40,Offered,2025-04-28,2025-05-08,
07a0ca6e-0822-48f3-ac03-1199972a8469,Engineer,Singapore,Campus,Male,28,Joined,2025-04-28,2025-05-13,2025-05-21
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Analyst,Singapore,Referral,Male,33,Accepted,2025-04-25,2025-05-05,
a65ed389-b74d-4fb1-b2e7-06298fadc1a6,Manager,Hyderabad,Internal,Male,31,Joined,2025-05-20,2025-06-08,2025-06-20
96da1dac-72ff-4d2a-b86e-cbe06b65a6a4,Engineer,Hyderabad,Referral,Female,31,Joined,2025-05-07,2025-05-20,2025-05-28
c241330b-01a9-471f-9e8a-774bcf36d58b,Manager,London,Internal,Female,33,Interviewed,2025-05-01,,
47229389-571a-4876-ac30-7511b2b9437a,Designer,New York,Campus,Female,43,Accepted,2025-05-01,2025-05-20,
562b0f79-c374-49ee-b50b-ea63371ecd7b,Engineer,New York,Job Portal,Female,30,Joined,2025-04-28,2025-05-18,2025-06-02
5be6128e-18c2-4797-a142-ea7d17be3111,Engineer,London,Referral,Male,23,Joined,2025-05-10,2025-05-26,2025-06-06
0b1f9163-ce9f-457f-83b7-a3a69a8dca03,Analyst,New York,Campus,Male,37,Offered,2025-05-16,2025-06-05,
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Manager,New York,Campus,Male,45,Accepted,2025-05-12,2025-05-26,
d453dd32-4b0d-4b41-8d52-88f1142c3fe8,Manager,Singapore,Campus,Male,26,Accepted,2025-05-11,2025-05-22,
11ce5dd2-b45e-41f0-b139-d32c93cd59bf,Analyst,Hyderabad,Job Portal,Female,43,Offered,2025-04-26,2025-05-07,
4a15544d-c5e7-4e8a-ba57-8a8ea9488d99,Manager,Singapore,Internal,Female,39,Joined,2025-04-27,2025-05-07,2025-05-15
19db3ad0-ddd1-4fb2-bb98-2ef8daf61a26,Designer,London,Referral,Male,27,Offered,2025-05-12,2025-05-26,
d58842de-a2bc-472f-b412-b29347294739,Engineer,Hyderabad,Campus,Female,38,Accepted,2025-05-11,2025-05-23,
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,Designer,New York,Referral,Female,37,Interviewed,2025-05-06,,
a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,Designer,London,Job Portal,Male,40,Joined,2025-04-27,2025-05-08,2025-05-22
88bd6407-2bcf-4e01-a28d-efe39bf00273,Analyst,New York,Job Portal,Female,39,Interviewed,2025-05-05,,
451b4cf3-6123-4df7-b656-af7229d4beef,Manager,New York,Job Portal,Female,34,Joined,2025-05-21,2025-06-10,2025-06-22
d7c524a5-5304-417f-af42-e12f3838b326,Manager,Singapore,Referral,Male,24,Offered,2025-04-26,2025-05-15,
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Engineer,New York,Referral,Male,42,Interviewed,2025-05-09,,
3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,Analyst,Hyderabad,Campus,Male,29,Offered,2025-05-21,2025-06-07,
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Engineer,New York,Internal,Male,37,Joined,2025-05-18,2025-05-31,2025-06-08
a491f0b2-ea1f-4a65-a27a-984d654821d0,Analyst,Singapore,Campus,Male,36,Joined,2025-05-16,2025-05-26,2025-06-03
3f22faf8-23be-401d-83cf-2fde24933b83,Analyst,Singapore,Campus,Female,25,Offered,2025-05-21,2025-06-03,
95a76d79-bf3c-4c06-8343-08bc89fa6a68,Manager,New York,Internal,Male,36,Offered,2025-05-14,2025-05-25,
5cabcc97-663f-4c97-9562-69f0e5d7b875,Manager,Hyderabad,Referral,Female,39,Joined,2025-05-04,2025-05-15,2025-05-25
827050a8-2369-4584-bf5e-9ff0ff50bde4,Engineer,Singapore,Internal,Female,34,Joined,2025-05-17,2025-05-29,2025-06-11
